ref	txt
YOMA_chapter_8_0	"If a Sage pronounced a woman forbidden to her husband because of her vow, the Sage may not marry her. If in her presence she exercised right of Refusal or performed halitzah, he may marry her, since he was [but a member of] the court. And in every case, if they had wives and these [afterward] died, the [other] women may be married to them. And in every case if the women were married to others and [afterward] were divorced or became widows, they may be married to them; and in every case they may be married to their sons or brothers."
YOMA_chapter_8_1	"If two of four brothers married two sisters, and the two that married the two sisters died, the sisters must perform halitzah and may not contract levirate marriage; and if the brothers had already married them they must put them away. R. Eliezer says: According to the School of Shammai they may continue the marriage, but according to the School of Hillel they must put them away."
YOMA_chapter_8_2	"If one of the sisters was forbidden to one of the brothers by virtue of the forbidden degrees, he may not marry her, but he may marry her sister; the second brother may not marry either. If one of the sisters was forbidden by virtue of an ordinance [of the Scribes] or by virtue of the holiness [of the levir] she must perform halitzah and may not contract levirate marriage."
YOMA_chapter_8_3	"If one of the sisters was forbidden to one of the brothers by virtue of the forbidden degrees, and the other sister was forbidden to the other brother by virtue of the forbidden degrees, the sister forbidden to the first brother is permitted to the second, and the sister forbidden to the second is permitted to the first. This is the case whereof they have said: If her sister is also her sister-in-law she may either perform halitzah or contract levirate marriage."
YOMA_chapter_8_4	"If two of three brothers married two sisters, or a woman and her daughter, or a woman and her daughters daughter, or a woman and her sons daughter [and the two brothers died childless], the two widows must perform halitzah and may not contract levirate marriage [with the third brother]. R. Simeon declares them exempt [even from halitzah]. If one of the sisters was forbidden to him by virtue of the forbidden degrees, he is forbidden to her but he is not forbidden to the other; but if by virtue of an ordinance [of the Scribes] or by virtue of the holiness [of the levir], she must perform halitzah and may not contract levirate marriage."
YOMA_chapter_8_5	"If there were three brothers, two married to two sisters and one unmarried, and one of the married brothers died and the unmarried one bespoke the widow, and then his second brother died, the School of Shammai say: His [bespoken] wife abides with him and the other is free as being the wifes sister. And the School of Hillel say: He must put away his [bespoken] wife both by bill of divorce and by halitzah, and his brothers wife by halitzah. This is the case whereof they have said, Woe to him because of [the loss of] his wife! and woe to him because of [the loss of] his brothers wife."
YOMA_chapter_8_6	"If there were three brothers, two married to two sisters and the other to a woman not near of kin, and the husband of one of the sisters died and the brother married to the woman not near of kin married the widow and then died, the widow is free [from levirate marriage with the surviving brother] in that she is the sister of his wife, and the woman not near of kin is free in that she was her co-wife. If he had only bespoken her for himself and then died, the woman not near of kin must perform halitzah and may not contract levirate marriage [with the surviving brother]. If there were three brothers, two married to two sisters and the other to a woman not near of kin, and the brother married to the woman not near of kin died and the husband of one of the sisters married the widow and then died, the first woman is free [from levirate marriage with the surviving brother] in that she is the sister of his wife, and the other woman in that she was her co-wife. If he had only bespoken her for himself and then died, the woman not near of kin must perform halitzah and may not contract levirate marriage [with the surviving brother]."
YOMA_chapter_8_7	"If there were three brothers, two married to two sisters and the other to a woman not near of kin, and the husband of one of the sisters died and the husband of the woman not near of kin married the widow and then the wife of the other husband died, and afterward the husband of the woman not near of kin died also, then she is forbidden to him for all time since she was forbidden to him during a certain time. If there were three brothers, two married to two sisters and the other to a woman not near of kin, and the husband of one of the sisters divorced his wife and the brother married to the woman not near of kin died, and then the brother who divorced his wife married the widow and then died; such is a case whereof they have said, If any among them died … or were divorced … their co-wives are not exempt."
YOMA_chapter_8_8	"And in every case if their betrothal or divorce was in doubt, the co-wives must perform halitzah and may not contract levirate marriage. How can the betrothal be in doubt? If when he threw to her the betrothal-gift it was in doubt whether it lay nearer to him or nearer to her, such is a case where the betrothal was in doubt. How can the divorce be in doubt? If a man wrote out [the bill of divorce] in his own handwriting but there were no witnesses, or if there were witnesses but no date was given, or if there was a date given but only one witness was present, such is a case where the divorce was in doubt."
YOMA_chapter_8_9	"If three brothers were married to three women not near of kin and one of the brothers died and the second brother only bespoke the widow for himself and then died, the [two] widows must perform halitzah and may not contract levirate marriage [with the third brother], for it is written, [If brethren dwell together] and one of them die … her husbands brother shall go in unto her—thus she is bound only to one brother-in-law and is not bound to two brothers-in-law. R. Simeon says: He may contract levirate marriage with which of them he will and submit to halitzah from the other. If two brothers were married to two sisters and one of the brothers died and afterward the wife of the other brother died, [the wife of the first brother] is forbidden to him for all time since she was forbidden to him during a certain time."
SUKKAH_chapter_1_0	"If two men had betrothed two women and when they entered into the bride-chamber the two women were exchanged, then both are culpable by virtue of the law of thy neighbours wife; and, if they were brothers, by virtue of the law of thy brothers wife; and, if they were sisters, by virtue of the law of a woman and her sister; and, if they were both menstruants, by virtue of the law of the menstruant. They must be kept apart for three months lest they be with child. If they were minors and not like to bear children, they may forthwith be restored [to their proper husbands]. If they were priests daughters they are rendered ineligible to eat of Heave-offering."
SUKKAH_chapter_1_1	"If a man submitted to halitzah from his deceased brothers wife and she was then found with child and gave birth, if the child was like to live, [the halitzah is deemed void]: each is permitted to marry the others kindred; and he has not rendered her ineligible for marriage with a priest. But if the child was not like to live, neither is permitted to marry the others kindred, and he has rendered her ineligible for marriage with a priest."
SUKKAH_chapter_1_2	"If a man consummated marriage with his deceased brothers wife and she was found [already] with child and gave birth, if the child was like to live, he must put her away and they must offer a [Sin-]offering. But if the child was not like to live he may continue the marriage If it is in doubt whether what is born is a nine-months child of the former [husband] or a seven-months child of the latter [husband], he must put her away; the child is deemed legitimate; but they must offer a Suspensive Guilt-offering."
SUKKAH_chapter_1_3	"If a woman awaiting levirate marriage inherited property, the School of Shammai and the School of Hillel agree that she may sell it or give it away and the act will be valid. If she died what should be done with her Ketubah and property that comes in and goes out with her? The School of Shammai say: The heirs of her [deceased] husband share with the heirs of her father. And the School of Hillel say: Her [ṣon barzel] property falls [equally] to them [both]: the Ketubah falls to the [deceased] husbands heirs, and the property that comes in and goes out with her falls to her fathers heirs."
SUKKAH_chapter_1_4	"But if the brother-in-law had consummated marriage with her, she counts as his wife in all respects save that her Ketubah is a charge on her first husbands goods."
SUKKAH_chapter_1_5	"The duty of levirate marriage falls on the eldest [surviving] brother. If he was not willing it passes in turn to each of the other brothers, and if they were not willing they come again to the eldest and say to him, The duty falls on thee: submit to halitzah or contract levirate marriage."
SUKKAH_chapter_1_6	"If he would hold his decision in suspense until a brother that was not of age should have come of age, or until an elder brother should have returned from beyond the sea, or until a brother that was a deaf-mute or an imbecile should recover, they do not listen to him but say, The duty falls on thee: submit to halitzah or contract levirate marriage."
SUKKAH_chapter_1_7	"If a man submitted to halitzah from his deceased brothers wife he still counts as one of the brothers in what concerns inheritance; but if the father was living the property falls to him. If he consummated marriage with his deceased brothers wife he thereby acquires title to the property of his brother. R. Judah says: In either case if the father was living the property falls to him. If a man submitted to halitzah from his deceased brothers wife neither may marry the kindred of the other: [namely,] he may not marry her mother, her mothers mother, or her fathers mother, her daughter, her daughters daughter or her sons daughter or her sister (such time as the deceased brothers wife is living; but his brothers may marry her); and she may not marry his father, his fathers father or his mothers father, his son, or his sons son or his brother or his brothers son. A man may marry one that is near of kin to the co-wife of his deceased brothers wife at whose hands he has submitted to halitzah, but not the co-wife of one that is near of kin to his deceased brothers wife at whose hands he has submitted to halitzah."
SUKKAH_chapter_1_8	"If a man submitted to halitzah from his deceased brothers wife and his brother married her sister and then died, the sister must perform halitzah and may not contract levirate marriage [with the first brother]; but if a man divorced his wife and his brother married her sister and then died, the sister is exempt both from halitzah and from levirate marriage."
SUKKAH_chapter_1_9	"If a woman awaited levirate marriage with a man whose [younger] brother betrothed her sister, the Sages said in the name of R. Judah b. Bathyra: They must say [to the younger brother], Wait until thine elder brother shall decide. If the elder brother submitted to halitzah or consummated the marriage the younger brother may consummate the marriage with his [betrothed] wife. And if the sister-in-law died, the younger brother may consummate the marriage with his [betrothed] wife. But if the elder brother died, he must put away his [betrothed] wife by a bill of divorce and submit to halitzah from his brothers wife."
SUKKAH_chapter_2_0	"Three months [of her widowhood] must pass by before the wife of the deceased brother may perform halitzah or contract levirate marriage. So, too, other widows may not [again] be betrothed or married before three months have passed, whether they are virgins or not virgins, whether they are divorced or widows, whether they were married or [only] betrothed. R. Judah says: They that had been married may forthwith be betrothed, and they that had been [only] betrothed may forthwith be married, excepting betrothed women in Judea, since [there] the bride-groom is less shamefast before her. R. Jose says: All women may be betrothed [again forthwith] excepting the widow, because of her [prescribed] time of mourning."
SUKKAH_chapter_2_1	"If four brothers married four women and then died, and the eldest [of the brothers that remained] was minded to contract levirate marriage with all the widows, it is his right. If a man was married to two women and died, consummation or halitzah with the one wife exempts the co-wife. If one of them was eligible [for marriage with a priest] and the other ineligible, if the brother-in-law submitted to halitzah it must be from her that was ineligible; and if he contracted levirate marriage it must be with her that was eligible."
SUKKAH_chapter_2_2	"If a man re-married his divorced wife, or married one at whose hands he had submitted to halitzah or one that was near of kin to her, he must put her away, and any child that is born is a bastard. So R. Akiba. But the Sages say: The child is not a bastard. But they agree that if a man married one that was near of kin to his divorced wife, any child [that is born] is a bastard."
SUKKAH_chapter_2_3	"Who is accounted a bastard? [The offspring from] any [union of] near of kin which is forbidden [in the Law]. So R. Akiba. Simeon of Teman says: [The offspring of any union] for which the partakers are liable to Extirpation at the hands of heaven. And the Halakah is according to his words. R. Joshua says: [The offspring of any union] for which the partakers are liable to death at the hands of the court. R. Simeon b. Azzai said: I found a family register in Jerusalem and in it was written, Such-a-one is a bastard through [a transgression of the law of] thy neighbours wife, confirming the words of R. Joshua. If a mans wife died he is permitted to marry her sister. If he divorced her and she afterward died he is permitted to marry her sister. If she was married again to another man and afterward died, he is permitted to marry her sister. If a mans deceased brothers wife died, he is permitted to marry her sister. If he submitted to halitzah from her and she afterward died, he is permitted to marry her sister."
SUKKAH_chapter_2_4	"Rabban Gamaliel said: No bill of divorce has validity after another bill of divorce, and no statement [of betrothal] after another statement [of betrothal], and no act of consummation after another act of consummation, and no act of halitzah after another act of halitzah. But the Sages say: A bill of divorce has validity after another bill of divorce, and a statement [of betrothal] after another statement [of betrothal]; but naught can validly follow consummation or halitzah."
SUKKAH_chapter_2_5	"Thus if a man bespoke for himself his deceased brothers wife and then gave her a bill of divorce, he must still submit to halitzah. If he bespoke her and then submitted to halitzah she still requires of him a bill of divorce. If he bespoke her and then consummated the marriage, such is her due."
SUKKAH_chapter_2_6	"If he gave her a bill of divorce and then bespoke her, she must receive of him a bill of divorce and must still perform halitzah. If he gave her a bill of divorce and then consummated the marriage, she must receive of him a bill of divorce and she must still perform halitzah. If he gave her a bill of divorce and then submitted to halitzah, naught can validly follow the halitzah. If he submitted to halitzah and then bespoke her, or gave her a bill of divorce and then consummated the marriage, or consummated the marriage and then bespoke her, or gave her a bill of divorce and then submitted to halitzah, naught can validly follow the halitzah, and it is all one whether there was one deceased brothers wife to one brother-in-law, or two deceased brothers wives to one brother-in-law."
SUKKAH_chapter_2_7	"Thus if a man bespoke both deceased brothers wives he must give two bills of divorce and submit to halitzah [from one of them]. If he bespoke one and gave a bill of divorce to the other, he must give the one a bill of divorce and submit to halitzah from the other. If he bespoke the one and consummated marriage with the other, he must give two bills of divorce and submit to halitzah [from one of them]. If he bespoke the one and submitted to halitzah from the other, the first must be given a bill of divorce. If he gave a bill of divorce to each, he must submit to halitzah from one. If he gave a bill of divorce to one and bespoke the other, he must give a bill of divorce to one and submit to halitzah from one. If he gave a bill of divorce to one and submitted to halitzah from the other, then after halitzah naught can validly follow."
SUKKAH_chapter_2_8	"If he submitted to halitzah from both or submitted to halitzah from one and bespoke the other, or gave a bill of divorce to one and consummated marriage with the other, or consummated marriage with both, or consummated marriage with one and bespoke the other, or gave a bill of divorce to one and submitted to halitzah from the other, naught can validly follow the halitzah, whether there was one brother-in-law to two deceased brothers wives, or two brothers-in-law to one deceased brothers wife."
SUKKAH_chapter_2_9	"If he submitted to halitzah from her and then bespoke her, or gave her a bill of divorce or consummated marriage with her, or consummated marriage and then bespoke her or gave her a bill of divorce or submitted to halitzah from her, then naught can validly follow halitzah, whether this came in the beginning or in the middle or at the end. If the consummation came in the beginning, naught can validly follow; but if it came in the middle or at the end, somewhat else can validly follow. R. Nehemiah says: It is the same with consummation as with halitzah: whether in the beginning or in the middle or at the end, naught can validly follow."
SUKKAH_chapter_3_0	"If a man had connexion with his deceased brothers wife, whether in error or wantonness, whether under constraint or willingly, or even if he acted in error and she in wantonness, or he in wantonness and she in error, or he under constraint and she not under constraint, or she under constraint and he not under constraint, whether the act was partial or complete—he has thereby acquired her to wife; and there is no distinction respecting the manner of connexion."
SUKKAH_chapter_3_1	"So, too, if a man had connexion with one from among the forbidden degrees spoken of in the Law, or from among them that are ineligible, (to wit, a widow [who is forbidden in marriage] to a High Priest, a divorced woman or one that had performed halitzah to a common priest, a woman that is a bastard or a Nethinah to an Israelite, and a daughter of an Israelite to a bastard or a Nathin), he has thereby rendered her ineligible; and there is no distinction respecting the manner of connexion."
SUKKAH_chapter_3_2	"If a widow was betrothed to a High Priest, or a divorced woman or one that had performed halitzah to a common priest, they may not eat of Heave-offering. R. Eliezer and R. Simeon declare them eligible. If they became widows or were divorced after wedlock, they are ineligible, but if after betrothal [only], they remain eligible."
SUKKAH_chapter_3_3	"A High Priest may not marry a widow whether she had become a widow after betrothal or after wedlock; and he may not marry one that is past her girlhood. But R. Eliezer and R. Simeon declare one that is past her girlhood eligible. He may not marry one that is not virgo intacta. If he had betrothed a widow and was afterward appointed High Priest, he may consummate the union. It once happened that Joshua b. Gamla betrothed Martha the daughter of Boethus, and he consummated the union after that the king appointed him High Priest. If a woman awaited levirate marriage with a common priest and he was appointed High Priest, although he had bespoken her he may not consummate the union. If the brother of the High Priest died, the High Priest must submit to halitzah and may not contract levirate marriage."
SUKKAH_chapter_3_4	"A common priest may not marry a sterile woman unless he already had a wife or children. R. Judah says: Although he already had a wife or children he may not marry a sterile woman, for such is the harlot spoken of in the Law. But the Sages say: The harlot refers only to a female proselyte, or to a freed bondwoman, or to one that suffered connexion of the nature of fornication."
SUKKAH_chapter_3_5	"No man may abstain from keeping the law Be fruitful and multiply, unless he already has children: according to the School of Shammai, two sons; according to the School of Hillel, a son and a daughter, for it is written, Male and female created he them. If he married a woman and lived with her ten years and she bare no child, it is not permitted him to abstain. If he divorced her she may be married to another and the second husband may live with her for ten years. If she had a miscarriage the space [of ten years] is reckoned from the time of the miscarriage. The duty to be fruitful and multiply falls on the man but not on the woman. R. Johanan b. Baroka says: Of them both it is written, And God blessed them and God said unto them, Be fruitful and multiply."
SUKKAH_chapter_3_6	"If a widow [was married] to a High Priest, or if a divorced woman or one that had performed halitzah [was married] to a common priest, and she brought him in [as her dowry] melog slaves and son barzel slaves, the melog slaves may not eat of Heave-offering, but the son barzel slaves may eat thereof. Melog slaves are such that, if they die, the wife suffers the loss, and if their value increases the wife enjoys the increase; though the husband is responsible for their maintenance they may not eat of Heave-offering. Son barzel slaves are such that, if they die, the loss is suffered by the husband, and if their value increases the husband enjoys the increase; since his obligation is to restore them in full they may eat of Heave-offering."
SUKKAH_chapter_3_7	"If the daughter of an Israelite was married to a priest and [as her dowry] she brought him in slaves, be they melog or son barzel property, they may eat of Heave-offering; but if a priests daughter was married to an Israelite and brought him in either melog slaves or son barzel slaves, they may not eat of Heave-offering."
SUKKAH_chapter_3_8	"If the daughter of an Israelite was married to a priest and he died leaving her with child, her slaves may not eat of Heave-offering by virtue of the portion that falls to the unborn child; for the unborn child can deprive [a woman] of the right to eat [of Heave-offering] but it cannot bestow [on her] the right. So R. Jose. The Sages said to him: After thou hast affirmed this to us of the daughter of an Israelite [married] to a priest, [wouldest thou also affirm] of the daughter of a priest [married] to a priest who died [childless] and left her with child, that her slaves may not eat of Heave-offering by virtue of the portion that falls to the unborn child?"
SUKKAH_chapter_3_9	"An unborn child, a levir, betrothal, a deaf-mute, or a boy nine years old and a day can deprive [a woman] of the right to eat [of Heave-offering], but they cannot bestow [on her] the right, even if it is in doubt whether he is nine years old and a day or not, or whether he has produced two hairs or not. If a house fell upon a man and [his wife who was] his brothers daughter, and it is not known which of them died first, her co-wife must perform halitzah and may not contract levirate marriage."
SUKKAH_chapter_4_0	"The violator and the seducer and he that is an imbecile cannot deprive [the woman with whom they have connexion] of the right to eat [of Heave-offering] nor can they bestow [on her] the right; but if they are such that are not fit to enter [into the congregation of] Israel, they can deprive [the woman] of the right to eat. Thus if an Israelite had connexion with the daughter of a priest she may [still] eat of Heave-offering; if she was got with child she may not eat of Heave-offering; if the unborn child in her bowels was cut out she may eat. If a priest had connexion with the daughter of an Israelite, she may not eat of Heave-offering; if she was got with child she may not eat; if she gave birth she may eat. [Thus] the power of the child is greater than that of the father. A slave disqualifies [a woman from eating of Heave-offering] by virtue of congress but not by virtue of offspring. Thus if the daughter of an Israelite was married to a priest, or a priests daughter to an Israelite, and she bore a son by him, and the son went and had connexion with a bondwoman, and she bore a son by him, such a child is a bondman; and if his fathers mother was the daughter of an Israelite married to a priest she may not eat of Heave-offering; but if she was a priests daughter married to an Israelite she may eat of Heave-offering. A bastard may deprive [a woman] of the right to eat [of Heave-offering] and also bestow the right. Thus if the daughter of an Israelite was married to a priest, or a priests daughter to an Israelite, and she bore a daughter by him and the daughter went and married a slave or a gentile and bore a son by him, such a child is a bastard; and if his mothers mother was the daughter of an Israelite married to a priest she may eat of Heave-offering, but if she was a priests daughter married to an Israelite she may not eat of Heave-offering."
SUKKAH_chapter_4_1	"There are times when a High Priest can deprive [a woman] of the right [to eat of Heave-offering]. Thus if a priests daughter was married to an Israelite and she bore a daughter by him, and the daughter went and married a priest and bore a son by him, such a child is fit to become a High Priest, to stand and minister at the Altar; he bestows on his mother the right to eat [of Heave-offering], but he deprives his mothers mother of the right; and she may say, Let there not be the like of my grandson, the High Priest, who deprives me of the right to eat of Heave-offering."
SUKKAH_chapter_4_2	"The uncircumcised and all they that are unclean may not eat of Heave-offering; [but] their wives and their slaves may eat of Heave-offering. He that is wounded in the stones, or hath his privy member cut off, they and their slaves may eat of Heave-offering but their wives may not eat; but if such a one did not thereafter have connexion with his wife, she may eat of Heave-offering."
SUKKAH_chapter_4_3	"Who is deemed wounded in the stones? He whose testicles are wounded or one only of them. And [who is he that] hath his privy member cut off? He whose member is cut. But if so much as a hair-thread of the crown remains he is eligible [to eat of Heave-offering]. He that is wounded in the stones or hath his privy member cut off is permitted to marry a female proselyte or a freed slave, only he may not enter into the assembly, for it is written, He that is wounded in the stones or hath his privy member cut off shall not enter into the assembly of the Lord."
SUKKAH_chapter_4_4	"An Ammonite or a Moabite is forbidden and forbidden for all time [to marry an Israelite], but their women are permitted forthwith. An Egyptian or an Edomite whether male or female is forbidden only for three generations. R. Simeon declares their women forthwith permitted. R. Simeon said: It is an inference from the less to the greater: if where the menfolk are for all time forbidden their women are forthwith permitted, how much the more where the menfolk are forbidden for but three generations should their women be forthwith permitted! They answered: If this is Halakah [which thou hast received] we receive it; but if it is but an inference [of thine own] a counter-inference may rebut it. He answered: Not so, but I declare what is Halakah. Bastards and Nathins are forbidden and forbidden for all time, whether they are males or females."
SUKKAH_chapter_4_5	"R. Joshua said: I have heard a tradition that a eunuch submits to halitzah and his brothers submit to halitzah from his wife; also [I have heard a tradition] that a eunuch does not submit to halitzah nor do his brothers submit to halitzah from his wife; and I cannot explain it. R. Akiba said: I will explain it. If he was a man-made eunuch he submits to halitzah and his brothers submit to halitzah from his wife, because there was a time when he was potent; but if he was a eunuch by nature he does not submit to halitzah nor do his brothers submit to halitzah from his wife, because there never was a time when he was potent. R. Eliezer says: Not so! but a eunuch by nature submits to halitzah and his brothers submit to halitzah from his wife, since he may be healed; but a man-made eunuch does not submit to halitzah nor do his brothers submit to halitzah from his wife, since he cannot be healed. R. Joshua b. Bathyra testified of Ben Megusath who lived in Jerusalem [and was] a man-made eunuch, that they contracted levirate marriage with his wife, confirming the words of R. Akiba."
SUKKAH_chapter_4_6	"A eunuch [by nature] does not submit to halitzah or contract levirate marriage; so, too, a woman that is sterile does not perform halitzah or contract levirate marriage. If a eunuch submitted to halitzah from his deceased brothers wife, he does not disqualify her [for marriage with a priest]; but if he had connexion he disqualifies her, since such connexion is of the nature of fornication. So, too, if brothers submitted to halitzah from a woman that is sterile they do not disqualify her, since connexion with her is of the nature of fornication."
SUKKAH_chapter_4_7	"If a priest that was a eunuch by nature married the daughter of an Israelite, he gives her the right to eat of Heave-offering. R. Jose and R. Simeon say: If a priest that was of double sex married the daughter of an Israelite, he gives her the right to eat of Heave-offering. R. Judah says: If one of doubtful sex was found to be a male when the impediment was removed, he may not submit to halitzah since he is accounted a eunuch [by nature]. One that is of double sex may marry [a wife], but none may marry him. R. Eliezer says: [Through connexion with] one that is of double sex the penalty of stoning is incurred as with a male."
SUKKAH_chapter_4_8	"Some women are permitted in marriage to their husbands and forbidden to their brothers-in-law; some are permitted in marriage to their brothers-in-law and forbidden to their husbands; some are permitted to both, and some are forbidden to both. These [are the cases in which the women] are permitted in marriage to their husbands and forbidden to their brothers-in-law: a common priest who married a widow and has a brother that is a High Priest; a man of impaired priestly stock who married a woman that was eligible [for marriage with a priest] and has a brother of unimpaired priestly stock; an Israelite who married the daughter of an Israelite and has a bastard brother; a bastard who married a woman that is a bastard and has a brother who is an Israelite; these are the cases in which the women are permitted in marriage to their husbands and forbidden to their brothers-in-law."
SUKKAH_chapter_4_9	These are the cases in which the women are permitted in marriage to their brothers-in-law and forbidden to their husbands: a High Priest who betrothed a widow and has a brother who is a common priest; a priest of unimpaired priestly stock who married a woman of impaired priestly stock and has a brother of impaired priestly stock; an Israelite who married a woman that was a bastard and has a brother who is a bastard; a bastard who married the daughter of an Israelite and has a brother who is an Israelite; these are the cases in which the women are permitted in marriage to their brothers-in-law and forbidden to their husbands. These are the cases in which the women are forbidden in marriage both to their husbands and to their brothers-in-law; a High Priest who married a widow and has a brother who is a High Priest or a common priest; a priest of unimpaired priestly stock who married a woman of impaired priestly stock and has a brother of unimpaired priestly stock; an Israelite who married a bastard and has a brother who is an Israelite; a bastard who married the daughter of an Israelite and has a bastard brother; these are the cases in which the women are forbidden in marriage both to their husbands and to their brothers-in-law. All other classes of women are permitted in marriage both to their husbands and to their brothers-in-law.
SUKKAH_chapter_5_0	"In what concerns the secondary grade [of forbidden degrees] enjoined by the Scribes, if a woman is within the secondary grade of kinship to the husband but not within the secondary grade of kinship to the brother-in-law, she is forbidden in marriage to the husband and permitted to the brother-in-law; if she is within the secondary grade of kinship to the brother-in-law but not within the secondary grade of kinship to the husband, she is forbidden in marriage to the brother-in-law and permitted to the husband. If she is within the secondary grade of kinship to both she is forbidden in marriage to both, and she cannot lay claim to her Ketubah, or to the increase [on her melog property], or to alimony, or to indemnity [for loss on her melog property]; a child that is born is eligible [for the priesthood], but they compel the husband to put her away. If she was a widow [married] to a High Priest, a divorced woman or one that had performed halitzah [married] to a common priest, a bastard or a Nethinah [married] to an Israelite, or the daughter of an Israelite [married] to a bastard or a Nathin, she can lay claim to her Ketubah."
SUKKAH_chapter_5_1	"If the daughter of an Israelite was betrothed to a priest, or was got with child by a priest, or awaited levirate marriage with a priest (and the same applies to a priests daughter and an Israelite) she may not eat of Heave-offering. If the daughter of an Israelite was betrothed to a levite, or was got with child by a levite, or awaited levirate marriage with a levite (and the same applies to a levites daughter and an Israelite) she may not eat of Tithe. If a levites daughter was betrothed to a priest, or was got with child by a priest, or awaited levirate marriage with a priest (and the same applies to a priests daughter and a levite) she may not eat of Heave-offering or of Tithe."
SUKKAH_chapter_5_2	"If the daughter of an Israelite was married to a priest she may eat of Heave-offering; if he died and she had a son by him, she may eat of Heave-offering. If she was married to a levite she may eat of Tithe; if he died and she had a son by him, she may eat of Tithe. If she was then married to an Israelite she may not eat of Heave-offering or of Tithe; if he died and she had a son by him, she may not eat of Heave-offering or of Tithe. But if her son by the Israelite died, she may [again] eat of Tithe; if her son by the levite died, she may [again] eat of Heave-offering; if her son by the priest died, she may not eat of Heave-offering or of Tithe."
SUKKAH_chapter_5_3	"If a priests daughter was married to an Israelite she may not eat of Heave-offering; if he died and she had a son by him she may not eat of Heave-offering. If she was married to a levite she may eat of Tithe; if he died and she had a son by him, she may eat of Tithe. If she was married to a priest she may eat of Heave-offering; if he died and she had a son by him, she may eat of Heave-offering. If her son by the priest died, she may not eat of Heave-offering; if her son by the levite died, she may not eat of Tithe; if her son by the Israelite died, she may return to her fathers house; and of her it is written, If she is returned unto her fathers house, as in her youth, she shall eat of her fathers bread."
SUKKAH_chapter_5_4	"If a womans husband had gone beyond the sea and it was told her, Thy husband is dead, and she married again and her husband then returned, her marriage with them both is annulled, and she must receive a bill of divorce from each of them, and from neither of them can she lay claim to her Ketubah, or to the increase [of her melog property], or to alimony, or to indemnity [for loss on her melog property]; if she had taken aught from either of them she must restore it; a child begotten by either husband is a bastard; neither of them may contract uncleanness for her [if she died], and neither has a claim to aught found by her or to the work of her hands, or the right to set aside her vows. If she was the daughter of an Israelite she becomes ineligible for marriage with a priest, or, if the daughter of a levite, to eat of Tithe, or, if the daughter of a priest, to eat of Heave-offering. The heirs of neither husband may inherit her Ketubah. If the husbands die, their brothers must submit to halitzah and may not contract levirate marriage. R. Jose says: Her Ketubah remains a charge on her first husbands goods. R. Eleazar says: The first husband has a claim to aught found by her and to the work of her hands, and the right to set aside her vows. R. Simeon says: If the first husbands brother consummated levirate marriage with her or submitted to halitzah from her she renders her co-wife exempt [from levirate marriage], and a child begotten by him is not a bastard. But if she had married again without the consent [of the court being needful] she may return to her first husband."
SUKKAH_chapter_5_5	"If she had married again with the consent of the court [and her first husband then returned], the [second] marriage is annulled, and she is not liable to a Sin-offering; but if [she had married again] without the consent of the court, the marriage is annulled and she is also liable to a Sin-offering. [Thus] the authority of the court exempts from the Sin-offering. If the court gave her instruction that she could marry again but she contracted a forbidden union, she is liable to the Sin-offering, since their permission was but that she could marry again."
SUKKAH_chapter_5_6	"If a womans husband and son had gone beyond the sea and it was told her, Thy husband died and then thy son died also, and she married again and they then said to her, It was otherwise: [thy son died first and then thy husband], the marriage must be annulled and a child born before or after [the second testimony] is a bastard. If they had said to her, Thy son died and then thy husband died also, and she thereupon contracted levirate marriage, and they then came and said, It was otherwise, the marriage must be annulled, and a child born before or after [the second testimony] is a bastard. If they had said to her, Thy husband is dead, and she married again, and they then came and said, He was then alive but he has since died, the marriage must be annulled, and if a child was born before [the second testimony] it is a bastard, but if it was born afterward it is not a bastard. If they had said to her, Thy husband is dead, and she became betrothed and her husband then returned, she is permitted to return to him. Although her [betrothed] husband gave her a bill of divorce he has not thereby disqualified her [for marriage with a priest]. This did R. Eleazar b. Mattai expound: [It is written,] Neither shall they take a woman put away from her husband; and not from a man that is not [yet fully] her husband."
SUKKAH_chapter_5_7	"If a mans wife had gone beyond the sea and it was told him, Thy wife is dead, and he married her sister, and his wife then came back, she is permitted to return to him; and he is permitted to marry the near of kin to the second woman, and the second woman is permitted to marry his near of kin; and if the first died he is permitted to marry the second. If they had said to him, Thy wife is dead, and he married her sister, and they then said to him, She was then alive but she has since died, if a child was born before [the second testimony] it is a bastard, but if it was born afterward it is not a bastard. R. Jose says: Whosoever disqualifies [his wife] for [marriage with] others, disqualifies her for himself, and whosoever does not disqualify her for [marriage with] others does not disqualify her for himself."
SUKKAH_chapter_5_8	"If they had said to him, Thy wife is dead, and he married her sister by the same father, [and they then said to him], She too is dead, and he married her sister by the same mother, [and they then said to him,] She too is dead, and he married her sister by the same father,2 [and they then said to him,] She too is dead, and he married her sister by the same mother,3 and it is then found that they are all alive, he is permitted [to continue] with the first, with the third, and with the fifth; and these render their co-wives exempt [from levirate marriage]; and he is forbidden [to continue] with the second and the fourth, and although he consummated the union with either of them they do not render their co-wives exempt. If he had connexion with the second after the death of the first, he is then permitted to marry the second and the fourth, and these render their co-wives exempt; but he is then forbidden [to continue] with the third and with the fifth, and although he consummated the union with either of them they do not render their co-wives exempt."
